restaurant,city,menu_type,category,dish,price,description,tags
Jack and Jacky's,Leeuwarden,Lunch,BAKERY,CARROTCAKE,"5,40",Met vanille frosting,
Jack and Jacky's,Leeuwarden,Lunch,BAKERY,CHOCOLATE CAKE,"5,40",Met drie soorten chocolade,
Jack and Jacky's,Leeuwarden,Lunch,KIDS FOOD,KIDS PANCAKES,"7,30","Twee kleine bananen pannenkoekjes, blauwe bessen, banaan, aardbei & agavesiroop",
Jack and Jacky's,Leeuwarden,Lunch,KIDS FOOD,MINI YOGHURT BOWL,"5,90","Griekse yoghurt, granola, banaan, chiazaad, gojibessen, frambozen, blauwe bessen & agavesiroop",
Jack and Jacky's,Leeuwarden,Lunch,KIDS FOOD,BOWL OF FRESH FRUIT,"4,50",Gevarieerd vers gesneden fruit,
Jack and Jacky's,Leeuwarden,Lunch,KIDS FOOD,BANANABREAD,"4,80",Van de grill met verse banaan,
Roast,Leeuwarden,Lunch,Soepen,Currysoep,"8,5",met kip en bosui,
Roast,Leeuwarden,Lunch,Soepen,Mosterdsoep,"8,5",met spek en bosui - kan vegetarisch,
Roast,Leeuwarden,Lunch,Roast Eggs,Gerookte zalm,"19,5",op getoast briochebrood met gepocheerde eieren en Hollandaise,
Roast,Leeuwarden,Lunch,Roast Eggs,Gerookte biefstuk,"19,5",op getoast briochebrood met gepocheerde eieren en Hollandaise,
Roast,Leeuwarden,Lunch,Roast Eggs,Oude kaas,14,op getoast briochebrood met gepocheerde eieren en Hollandaise,
Roast,Leeuwarden,Lunch,Croissant Bun,Carpaccio,15,"van gerookte biefstuk, pesto, zongedroogde tomaat en parmezaanse kaas",
Roast,Leeuwarden,Lunch,Croissant Bun,Smashed Avocado,15,"met tomaat, chiliflakes, gepocheerd ei en Hollandaise",
Roast,Leeuwarden,Lunch,Maaltijdsalade,Caesar Salade,"19,5","met krokante kip, little gem, parmezaanse kaas, krokant spek en ansjovis-mayonaise",
Roast,Leeuwarden,Lunch,Maaltijdsalade,Geitenkaas Salade,"17,5","met appel, rode biet en balsamico",
Roast,Leeuwarden,Lunch,Bijgerechten,Friet,5,,
Roast,Leeuwarden,Lunch,Bijgerechten,Truffelfriet,"8,5",met truffelmayonaise en Parmezaanse kaas,
Roast,Leeuwarden,Lunch,Bijgerechten,Zuurdesembol,7,met twee soorten boter,
Roast,Leeuwarden,Lunch,Burgers & Buns,Runderburger,"19,5","met gekarameliseerde ui, tomaat, cheddar, katenspek en BBQ-saus - geserveerd met friet",
Roast,Leeuwarden,Lunch,Burgers & Buns,Beyondburger,"19,5","met gekarameliseerde ui, cheddar, tomaat en BBQ-saus - geserveerd met friet",
Roast,Leeuwarden,Lunch,Burgers & Buns,Jalapeño-Cheddar hotdog,"15,5","Op brioche bun met relish van Amsterdamse ui, ketchup-crunch, mosterd-mayonaise, bosui en krokante ui",
Roast,Leeuwarden,Lunch,Zuurdesem brood,Smashed Avocado,"15,5","op getoast desembrood met smashed avocado, tomaat, mozzarella en dressing van citroen en munt",
Roast,Leeuwarden,Lunch,Zuurdesem brood,Caesar Sandwich,"15,5","met krokante kip, little gem, parmezaanse kaas, krokant spek en ansjovis-mayonaise",
Roast,Leeuwarden,Lunch,Zuurdesem brood,Geitenkaas,14,"met gesuikerde amandelen, rode biet en balsamico",
Roast,Leeuwarden,Lunch,Zuurdesem brood,Gerookte zalm,"15,5","met wasabi-mayonaise, avocado, gekookt ei, wakame en nori",
Roast,Leeuwarden,Lunch,Lunchplank,Lunchplank,"22,5 p.p.","(Vanaf 2 personen) soepje en divers belegde broodjes, warm en koud",
Roast,Leeuwarden,Dinner,Bar Bites en Aperitieven,Oester,5,naturel,
Roast,Leeuwarden,Dinner,Bar Bites en Aperitieven,Oester,"5,5",met frambozen azijn en sjalot / Mango-sour en piment d'espelette,
Roast,Leeuwarden,Dinner,Bar Bites en Aperitieven,Iberico,"7,5",,
Roast,Leeuwarden,Dinner,Bar Bites en Aperitieven,Zuurdesembol,7,met twee soorten boter,
Roast,Leeuwarden,Dinner,Bar Bites en Aperitieven,Krokante kip,5,"Gojuchan-mayo , little gem, zoet-zure rode kool",
Roast,Leeuwarden,Dinner,Bar Bites en Aperitieven,Taco steak tartaar,"5,5","Miso-mayo, krokante ui en rode peper",
Roast,Leeuwarden,Dinner,Bar Bites en Aperitieven,Taco gerookte zalm,"5,5","wakame, furikake-mayo, bosui en krokante ui",
Roast,Leeuwarden,Dinner,Bar Bites en Aperitieven,Taco caprese,"5,5","tomaat, mozzarella en basilicumcrème - vegetarisch",
Roast,Leeuwarden,Dinner,Bar Bites en Aperitieven,Taco trio,15,Alle drie de taco's. Wel zo lekker!,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - koude gerechten,Steak tartaar,15,miso-mayo en krokante aardappel,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - koude gerechten,Shortrib,15,"aardappel kaantjes, zwarte knoflook crème en truffel jus",
Roast,Leeuwarden,Dinner,Voor ieder wat wils - koude gerechten,Zalm,15,cracker van furikake en crème van wasabi en dille,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - koude gerechten,Gepekelde makreel,15,rode biet en Granny Smith appel,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - koude gerechten,Knolselderij,12,"jalapeño crème, augurk en manchego - vegetarisch",
Roast,Leeuwarden,Dinner,Voor ieder wat wils - koude gerechten,Little Gem,9,peterselie crème en uien crunch - vegetarisch,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - warme gerechten,Lendebiefstuk,18,uiencrème en oosterse lak,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - warme gerechten,Boneless ribs,15,aardappelsalade en gojuchang-mayo,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - warme gerechten,Kipspies van de grill,15,bosui en teriyaki crunch,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - warme gerechten,Kabeljauw,15,paddenstoelensaus en pastinaak,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - warme gerechten,Schelvis,15,"knolselderij remoulade, pommes Pont Neuf en Hollandaise saus",
Roast,Leeuwarden,Dinner,Voor ieder wat wils - warme gerechten,Bloemkool,15,"amandel, curry crème en saus van kimchi - vegetarisch",
Roast,Leeuwarden,Dinner,Voor ieder wat wils - warme gerechten,Korkante aardappel,15,"oude Remeker, oesterzwam en paddestoelen-mayo - vegetarisch",
Roast,Leeuwarden,Dinner,Voor ieder wat wils - warme gerechten,Gegrilde aubergine,14,met miso - vegetarisch,
Roast,Leeuwarden,Dinner,Bijgerechten,Friet,5,mayonaise,
Roast,Leeuwarden,Dinner,Bijgerechten,Truffelfriet,"8,5",met Parmezaanse kaas,
Roast,Leeuwarden,Dinner,Bijgerechten,Ceaser salade,9,"krokante kip, Parmezaanse kaas, spek en ansjovis-mayo",
Roast,Leeuwarden,Dinner,Bijgerechten,Gepofte aardappel,6,"kaast crème, spek en bieslook",
Roast,Leeuwarden,Dinner,Voor ieder wat wils - desserts,Kaasplank,17,kazen van Kaasfort Amsterdam,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - desserts,Friandises,"6,5","huisgemaakte lekkernijen, lekker met koffie!",
Roast,Leeuwarden,Dinner,Voor ieder wat wils - desserts,Suikerbrood parfait,12,in koffie gegaarde peer en gezouten karamel,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - desserts,Chocolademousse,12,gemarineerde sinaasappel en vanille ijs,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - desserts,Lemoncurd,12,"citroenijs, crumble en meringue",
Baylings,Leeuwarden,Lunch,Lunch,Broodplank,"7,25",met kruidenboter en aioli,
Baylings,Leeuwarden,Lunch,Lunch,Baylings dips,"12,25",5 soorten dips geserveerd met brood,
Baylings,Leeuwarden,Lunch,Soepen,Toscaanse tomatensoep,"8,50",pesto,
Baylings,Leeuwarden,Lunch,Soepen,Thaise kippenbouillon,"8,50",noodles/taugé/rode peper/koriander/kip,
Baylings,Leeuwarden,Lunch,Soepen,Mosterd soep,"8,50",gerookte zalm,
Baylings,Leeuwarden,Lunch,Broodjes,Gerookte kip,"11,50",parmezaanse kaas/tomaat/ei/avocado/sla/kruidenmayonaise,
Baylings,Leeuwarden,Lunch,Broodjes,Brie,"11,50",walnoten/rucola/appel/honing,
Baylings,Leeuwarden,Lunch,Broodjes,Runder pastrami,"11,50",pickels/oude kaas/truffel mosterdmayonaise,
Baylings,Leeuwarden,Lunch,Broodjes,Pulled chicken,"11,50",rode ui/peterselie/puntpaprika/sla/chili ketjapsaus,
Baylings,Leeuwarden,Lunch,Broodjes,Zalm,"11,50",radijs/komkommer/kappertjes/bieslook/sla/crème fraîche,
Baylings,Leeuwarden,Lunch,Broodjes,Hummus,"11,50",rode paprika/courgette/aubergine/frisse dressing,
Baylings,Leeuwarden,Lunch,Broodjes,Runder carpaccio,"11,50",truffelmayonaise of pesto/zongedroogde tomaat/kaas/rucola/pijnboompitten,
Baylings,Leeuwarden,Lunch,Salades,Gerookte kip,"14,75",parmezaanse kaas/tomaat/ei/avocado/kruidenmayonaise,
Baylings,Leeuwarden,Lunch,Salades,Caprese,"14,75",buffelmozzarella/vleestomaat/basilicum/olijfolie/pesto,
Baylings,Leeuwarden,Lunch,Salades,Pulled chicken,"14,75",rode ui/peterselie/punt paprika/chili-ketjapsaus,
Baylings,Leeuwarden,Lunch,Salades,Runder pastrami,"14,75",pickels/oude kaas/truffel mosterdmayonaise,
Baylings,Leeuwarden,Lunch,Salades,Gerookte zalm:,"14,75",kappertjes/komkommer/rode ui/citroen/dille/ citroen crème fraîche,
Baylings,Leeuwarden,Lunch,Salades,Runder carpaccio,"14,75",truffelmayonaise of pesto/zongedroogde tomaat/kaas/rucola/pijnboompitten,
Baylings,Leeuwarden,Lunch,Tosti,Classic,"7,75",ham/kaas/curry,
Baylings,Leeuwarden,Lunch,Tosti,Caprese,"8,25",buffelmozzarella/tomaat/basilicum/pesto/ketchup,
Baylings,Leeuwarden,Lunch,Tosti,Gerookte kip,8.25,kaas/rode ui/tomaat/pesto,
Baylings,Leeuwarden,Lunch,Wraps,Gerookte zalm,"9,75",komkommer/zongedroogde tomaat/kruiden/sla/crème fraîche,
Baylings,Leeuwarden,Lunch,Wraps,Gerookte kip,"9,75",parmezaanse kaas/tomaat/ei/avocado/sla/kruidenmayonaise,
Baylings,Leeuwarden,Lunch,Wraps,Runder pastrami,"9,75",pickels/oude kaas/walnoten/cherrytomaat/truffel mosterdmayonaise,
Baylings,Leeuwarden,Lunch,Wraps,Pulled chicken,"9,75",rode ui/peterselie/puntpaprika/sla/chili-ketjapsaus,
Baylings,Leeuwarden,Lunch,Wraps,Runder carpaccio,"9,75",truffelmayonaise of pesto/zongedroogde tomaat/kaas/rucola/pijnboompitten,
Baylings,Leeuwarden,Lunch,Classics,Balyings break,"16,50",keuze uit onze soep van de kaart/keuze uit onze broodjes van de kaart/broodje kroket,
Baylings,Leeuwarden,Lunch,Classics,Balyings burger classic,"17,75",100% gekruid rundergehakt/verse bol/rode ui/tomaat/augurk/sla/kaas/friet/huisgemaakte saus,
Baylings,Leeuwarden,Lunch,Classics,Balyings burger kip,"17,75",kip burger/verse bol/rode ui/tomaat/augurk/sla/kaas/friet/huisgemaakte saus,
Baylings,Leeuwarden,Lunch,Classics,Balyings burger vega,"17,75",vegetarische burger/verse bol/rode ui /tomaat/augurk/sla/kaas/friet/ uisgemaakte saus,
Baylings,Leeuwarden,Lunch,Classics,Uitsmijter,"10,75",ham of kaas/brood,
Baylings,Leeuwarden,Lunch,Classics,Kroketten,"12,25",Oma Bobs kalfsvlees kroketten/brood/boter/mosterd,
Baylings,Leeuwarden,Lunch,Plates,Gegrilde kipfilet,"19,75",mals gebakken kipfilet met een jus of aioli,
Baylings,Leeuwarden,Lunch,Plates,Gegrilde biefstuk(200gr),"22,95",perfect gebakken biefstuk met een huisgemaakte peperjus,
Baylings,Leeuwarden,Dinner,Koud,Broodplank,"7,25",met kruidenboter en aioli,
Baylings,Leeuwarden,Dinner,Koud,Baylings dips,"12,25",5 soorten dips geserveerd met brood,
Baylings,Leeuwarden,Dinner,Koud,Runder carpaccio,"12,75",truffelmayonaise of pesto/zongedroogde tomaat/Parmezaanse kaas/rucola/pijnboompitten,
Baylings,Leeuwarden,Dinner,Koud,Turfgerookte zalm,"12,75",tunnbröd/radijs/komkommer/kappertjes/bieslook/dragon citrus mayonaise,
Baylings,Leeuwarden,Dinner,Koud,Runder pastrami,"12,75",pickels/oude kaas/truffel mosterdmayonaise,
Baylings,Leeuwarden,Dinner,Koud,Caprese,"12,75",buffelmozzarella/tomaat/basilicum/olijfolie/pesto,
Baylings,Leeuwarden,Dinner,Koud,Salade gerookte kip,"11,75",parmezaanse kaas/tomaat/ei/avocado/kruidenmayonaise,
Baylings,Leeuwarden,Dinner,Koud,Salade pulled chicken,"11,75",rode ui/peterselie/punt paprika/chili-ketjapsaus,
Baylings,Leeuwarden,Dinner,Warm,Toscaanse tomatensoep,"8,50",pesto,
Baylings,Leeuwarden,Dinner,Warm,Thaise kippenbouillon,"8,50",noodles/taugé/peper/koriander/kip,
Baylings,Leeuwarden,Dinner,Warm,Mosterd soep,"8,50",gerookte zalm,
Baylings,Leeuwarden,Dinner,Warm,Gamba's,"13,50",knoflook/peterselie/bosui/rode peper/brood,
Baylings,Leeuwarden,Dinner,Warm,Geitenkaas,"12,75",appel/walnoot/rucola/gekarameliseerde uitjes/honing,
Baylings,Leeuwarden,Dinner,Warm,Albondigas,"12,75",(gehaktballetjes bereid op Spaanse wijze) licht pittige tomatensaus/peterselie/bosui,
Baylings,Leeuwarden,Dinner,Warm,Spicy chicken,"12,75",geserveerd met parelcouscous,
Baylings,Leeuwarden,Dinner,Warm,Starter proeverij (2p),"21,95",proeverij van diverse warme en koude voorgerechten,
Baylings,Leeuwarden,Dinner,Vlees,Gebakken lamshaas,"33,50",rode wijnjus/seizoensgroenten,
Baylings,Leeuwarden,Dinner,Vlees,Baylings Biefstuk,"29,95",diamanthaas/truffeljus/seizoensgroenten,
Baylings,Leeuwarden,Dinner,Vlees,Pollo formaggio,"25,95",Ovengebakken kipfilet/gesmolten kaas/knoflook/oregano,
Baylings,Leeuwarden,Dinner,Vlees,Bayling mixed grill,"35,45",steak/burger/kipfilet/lamshaas/gebakken garnituur/aioli,
Baylings,Leeuwarden,Dinner,Vlees,Kalfs Entrecote,"29,75",kruidenboter,
Baylings,Leeuwarden,Dinner,Vlees,Oosterse Kebab,"33,50",gegrilde lamshaas aan de spies/gemarineerd op traditionele wijze/huisgemaakte couscous,
Baylings,Leeuwarden,Dinner,Vlees,Ossenhaas,"39,95",Tournedos 200gr/aardappel rösti/gemengde groenten/jus,
Baylings,Leeuwarden,Dinner,Vlees,Gnocchi Kip,"24,95",kip/spinazie/champignon/zongedroogde tomaat/walnoot/Parmezaanse kaas/room,
Baylings,Leeuwarden,Dinner,Vis,Verse zalmfilet,"29,95",dilleroomsaus,
Baylings,Leeuwarden,Dinner,Vis,Zeebaars,"27,95",seizoensgarnituur/jus van Hollandse garnalen,
Baylings,Leeuwarden,Dinner,Vis,Catch of the day,"25,95",vraag naar de vangst van vandaag,
Baylings,Leeuwarden,Dinner,Vega,Gnocchi,"22,95",spinazie/champignon/zongedroogde tomaat/walnoot/Parmezaanse kaas/room,
Baylings,Leeuwarden,Dinner,Vega,Börek,"21,50",gevulde filodeeg met groenten/feta,
Baylings,Leeuwarden,Dinner,Vega,Portobello,"21,95",geitenkaas/rucola/walnoten/port siroop,
Baylings,Leeuwarden,Dinner,Kleine Gasten,Tomatensoep,"4,50",tomaten en basilicum,
Baylings,Leeuwarden,Dinner,Kleine Gasten,Pannenkoeken of poffertjes,"7,00",boter/poedersuiker/stroop,
Baylings,Leeuwarden,Dinner,Kleine Gasten,Pizza margarita,"7,50",tomatensaus en kaas,
Baylings,Leeuwarden,Dinner,Kleine Gasten,Friet en Snack,"7,50","keuze uit een kroket, frikandel of kipnuggets",
Baylings,Leeuwarden,Dinner,Kleine Gasten,Kinder ijsje,"4,50",vanille ijs/discodip/slagroom,
Baylings,Leeuwarden,Dinner,Dessert,Cheescake,"9,25",sinaasappel coulis/slagroom,
Baylings,Leeuwarden,Dinner,Dessert,Créme brûlée,"8,95",wisselende smaken/vanille ijs,
Baylings,Leeuwarden,Dinner,Dessert,Hangop,"8,95",rood fruit/vanille/crumble,
Baylings,Leeuwarden,Dinner,Dessert,Chocolade moulleaux,"8,95",vanille ijs/slagroom,
Baylings,Leeuwarden,Dinner,Dessert,Sorbertijs,"8,95",3 soorten sorbetijs/op klassieke wijze geserveerd/slagroom,
Baylings,Leeuwarden,Dinner,Dessert,Tarte Tatin van appel,"8,95",omgekeerd gebakken appeltaartje/karamel/boerenroom ijs,
Baylings,Leeuwarden,Dinner,Dessert,Dessert proeverij (2p),"21,95",proeverij van diverse nagerechten,
De Dikke van Dale,Leeuwarden,Lunch,Soepen,Mosterdsoep geserveerd met Friese droge worst en bosui,7.25,,
De Dikke van Dale,Leeuwarden,Lunch,Soepen,Pompoensoep,7.25,"geserveerd met crème fraîche, pompoenpitten en bosui",
De Dikke van Dale,Leeuwarden,Lunch,Salades,Salade beef teriyaki,17.50,"sla, biefstukpuntjes, rode ui, peultjes, cherrytomaat, sesamzaadjes en teriyakisaus",
De Dikke van Dale,Leeuwarden,Lunch,Salades,Caesar salade,17.25,"little gem, chicken dippers, Parmezaanse kaas, gekookt ei, croutons, bacon en caesardressing",
De Dikke van Dale,Leeuwarden,Lunch,Koude Broodjes,Broodje rundercarpaccio,15.25,"sla, basilicummayonaise, zongedroogde tomaat, Parmezaanse kaas en krokante tuinbonen",
De Dikke van Dale,Leeuwarden,Lunch,Koude Broodjes,Broodje zalm,16.75,"sla, gerookte zalm, rode ui, zeekraal, komkommer en wasabimayonaise",
De Dikke van Dale,Leeuwarden,Lunch,Koude Broodjes,Broodje gezond,15.50,"sla, tomaat, komkommer, ham, kaas, gekookt ei, radijs, trio van kiemen en kerriemayonaise",
De Dikke van Dale,Leeuwarden,Lunch,Koude Broodjes,Clubsandwich,14.75,"sla, tomaat, bacon, kipfilet, kaas, kerriemayonaise, gebakken ei met friet en mayonaise",
De Dikke van Dale,Leeuwarden,Lunch,Twaalfuurtjes,"Twaalfuurtje zalm – kopje soep naar keuze, broodje met een rundvleeskroket en een broodje gerookte zalm met wasabimayonaise",17.75,,
De Dikke van Dale,Leeuwarden,Lunch,Twaalfuurtjes,"Twaalfuurtje carpaccio – kopje soep naar keuze, broodje met een rundvleeskroket en een broodje carpaccio met basilicummayonaise en Parmezaanse kaas",17.00,,
De Dikke van Dale,Leeuwarden,Lunch,Warme Broodjes,De Dikke Burger,16.50,"little gem, tomaat, rode ui, augurk, bacon, ei, cheddar, BBQ-saus op een brioche bol",
De Dikke van Dale,Leeuwarden,Lunch,Warme Broodjes,Holtkamp kroketten,11.75,geserveerd op wit landbrood met mosterd,
De Dikke van Dale,Leeuwarden,Lunch,Warme Broodjes,Broodje pastrami,14.75,"pastrami, Amsterdamse uitjes, coleslaw en vitellosaus",
De Dikke van Dale,Leeuwarden,Lunch,Warme Broodjes,Japanse kip slider,13.50,"kip karaage, coleslaw, rode ui, rode peper, bosui, taugé, gedroogde uitjes en srirachasaus",
De Dikke van Dale,Leeuwarden,Lunch,Warme Broodjes,Broodje Provençaal,12.75,"rode ui, prei, champignons, Provençaalse kruiden en geitenkaas",
De Dikke van Dale,Leeuwarden,Lunch,Warme Broodjes,Broodje gegrilde halloumi & pompoen,13.25,"sla, halloumi, pompoen en pesto, geserveerd op een flatbread",
De Dikke van Dale,Leeuwarden,Lunch,Warme Broodjes,Broodje Dikke van Dale,14.75,"sla, biefstukpuntjes, sesamzaadjes, teriyakisaus, rode ui en tomaat",
De Dikke van Dale,Leeuwarden,Lunch,Eiergerechten,Uitsmijter met ham en/of kaas,12.75,,
De Dikke van Dale,Leeuwarden,Lunch,Eiergerechten,"Boerenomelet – gebakken groenten, kaas en spek",13.75,,
De Dikke van Dale,Leeuwarden,Lunch,Eiergerechten,Uitsmijter zalm,15.75,,
De Dikke van Dale,Leeuwarden,Lunch,Plates,"Saté van kippendijen – satésaus, cassave en atjar",22.00,,
De Dikke van Dale,Leeuwarden,Lunch,Plates,Fish and chips – in beslag gefrituurde kabeljauwfilet geserveerd met ravigottesaus,22.00,,
De Dikke van Dale,Leeuwarden,Dinner,Soepen,Mosterdsoep -,7.25,geserveerd met Friese droge worst en bosui,
De Dikke van Dale,Leeuwarden,Dinner,Soepen,Pompoensoep,7.25,"geserveerd met crème fraîche, pompoenpitten en bosui",
De Dikke van Dale,Leeuwarden,Dinner,Salades,Caesar salade,17.25,"little gem, chicken dippers, Parmezaanse kaas, gekookt ei, croutons, bacon en caesardressing",
De Dikke van Dale,Leeuwarden,Dinner,Salades,Salade beef teriyaki,17.50,"sla, biefstukpuntjes, rode ui, peultjes, cherrytomaat, sesamzaadjes en teriyakisaus",
De Dikke van Dale,Leeuwarden,Dinner,Voorgerechten,Broodplankje,7.25,met diverse smeersels,
De Dikke van Dale,Leeuwarden,Dinner,Voorgerechten,Rundercarpaccio,14.75,"basilicummayonaise, zongedroogde tomaat, Parmezaanse kaas en krokante tuinbonen",
